Date,Open,High,Low,Close,Volume,Adj Close
2015-03-17,913.14,913.14,905.77,909.58,3221840000,909.58
2015-03-16,902.18,913.04,902.18,912.95,3295600000,912.95
2015-03-13,906.40,906.47,896.01,901.49,3498560000,901.49
2015-03-12,896.34,907.17,896.30,907.00,3405860000,907.00
2015-03-11,899.39,901.86,896.19,896.43,3406570000,896.43
2015-03-10,914.65,914.65,899.27,899.27,3668900000,899.27
2015-03-09,912.58,918.23,912.30,915.87,3349090000,915.87
2015-03-06,924.16,924.16,910.11,912.00,3853570000,912.00
2015-03-05,924.14,926.16,921.77,924.22,3103030000,924.22
2015-03-04,923.77,925.36,922.47,924.14,3421110000,924.14
2015-03-03,931.20,931.20,923.47,927.68,3262300000,927.68
2015-03-02,925.95,931.75,925.59,931.75,3409490000,931.75
2015-02-27,928.74,929.39,925.18,925.47,3547380000,925.47
2015-02-26,929.27,929.60,925.43,928.74,3408690000,928.74
2015-02-25,930.20,931.88,927.48,929.43,3312340000,929.43
2015-02-24,926.26,931.39,925.57,930.21,3199840000,930.21
2015-02-23,926.49,926.66,923.10,926.53,3093680000,926.53
2015-02-20,921.50,926.85,915.68,926.63,3281600000,926.63
2015-02-19,922.73,923.41,918.45,921.34,3247100000,921.34
2015-02-18,924.57,924.57,920.58,923.17,3370020000,923.17
2015-02-17,923.20,925.11,920.04,924.98,3361750000,924.98
2015-02-13,919.82,923.45,919.05,923.43,3527450000,923.43
2015-02-12,911.20,919.69,911.20,919.69,3788350000,919.69
2015-02-11,909.79,913.05,905.99,910.98,3596860000,910.98
2015-02-10,901.82,910.73,901.70,909.73,3669850000,909.73
2015-02-09,903.28,904.98,898.52,900.71,3549540000,900.71
2015-02-06,905.95,911.29,901.62,904.06,4232970000,904.06
2015-02-05,897.63,906.45,897.63,906.02,3821990000,906.02
2015-02-04,900.64,903.18,894.93,897.12,4141920000,897.12
2015-02-03,888.76,901.02,888.76,900.92,4615900000,900.92
2015-02-02,876.47,888.51,870.42,888.31,4008330000,888.31
2015-01-30,886.18,888.47,875.09,875.80,4568650000,875.80
2015-01-29,877.65,888.02,872.04,886.36,4127140000,886.36
2015-01-28,890.02,895.95,877.44,877.46,4067530000,877.46
2015-01-27,899.28,899.28,885.46,888.99,3329810000,888.99
2015-01-26,902.63,905.04,898.42,904.51,3465760000,904.51
2015-01-23,908.89,908.97,902.55,903.14,3573560000,903.14
2015-01-22,895.65,909.37,891.88,908.88,4176050000,908.88
2015-01-21,890.59,897.58,886.05,894.50,3730070000,894.50
2015-01-20,890.33,894.18,883.23,891.61,3944340000,891.61
2015-01-16,878.22,890.28,876.60,889.80,4056410000,889.80
2015-01-15,888.33,891.79,877.69,878.33,4276720000,878.33
2015-01-14,890.98,890.98,877.44,887.36,4378680000,887.36
2015-01-13,896.67,907.98,886.36,892.93,4107300000,892.93
2015-01-12,902.91,904.93,892.47,895.24,3456460000,895.24
2015-01-09,910.69,911.09,899.40,902.13,3364140000,902.13
2015-01-08,895.74,911.07,895.74,909.87,3934010000,909.87
2015-01-07,885.10,895.62,885.10,893.60,3805480000,893.60
2015-01-06,891.89,895.67,879.34,883.96,4460110000,883.96
2015-01-05,905.57,905.57,889.82,891.04,3799120000,891.04
2015-01-02,908.38,914.46,902.70,907.50,2708700000,907.50
2014-12-31,918.61,919.90,908.00,908.38,2606070000,908.38
2014-12-30,921.41,921.41,917.53,918.12,2440280000,918.12
2014-12-29,922.09,924.23,920.81,922.19,2452360000,922.19
2014-12-26,920.36,924.29,920.36,922.48,1735230000,922.48
2014-12-24,920.46,922.21,919.37,919.37,1416980000,919.37
2014-12-23,919.83,922.17,919.04,919.96,3043950000,919.96
2014-12-22,914.19,918.78,914.19,918.57,3369520000,918.57
2014-12-19,911.37,918.30,910.14,915.23,6465530000,915.23
2014-12-18,891.23,911.52,891.23,911.51,4703380000,911.51
2014-12-17,872.04,890.51,872.04,888.67,4942370000,888.67
2014-12-16,878.39,892.26,871.60,871.68,4958680000,871.68
2014-12-15,886.93,893.41,876.74,879.66,4361990000,879.66
2014-12-12,899.01,899.90,885.88,885.88,4157650000,885.88
2014-12-11,898.16,910.95,898.16,901.19,3917950000,901.19
2014-12-10,911.67,911.67,896.58,897.62,4114440000,897.62
2014-12-09,911.54,912.18,900.12,911.77,3970150000,911.77
2014-12-08,919.59,919.59,910.27,912.98,3800990000,912.98
2014-12-05,918.08,921.80,917.43,919.66,3419620000,919.66
2014-12-04,918.45,920.09,913.23,917.75,3408340000,917.75
2014-12-03,917.21,919.56,916.14,918.62,3612680000,918.62
2014-12-02,911.63,917.62,910.87,916.58,3686650000,916.58
2014-12-01,915.51,915.51,908.43,910.74,4159010000,910.74
2014-11-28,919.14,919.52,915.13,916.24,2504640000,916.24
2014-11-26,915.33,918.62,915.30,918.38,2745260000,918.38
2014-11-25,917.07,918.70,914.78,915.24,3392940000,915.24
2014-11-24,915.41,917.71,915.32,916.73,3128060000,916.73
2014-11-21,912.20,918.46,911.64,914.78,3916420000,914.78
2014-11-20,907.69,910.54,905.15,910.46,3128290000,910.46
2014-11-19,909.79,910.10,904.88,908.80,3390850000,908.80
2014-11-18,906.64,912.01,906.28,910.04,3416190000,910.04
2014-11-17,906.18,907.38,903.51,906.58,3152890000,906.58
2014-11-14,906.76,907.73,904.57,906.83,3227130000,906.83
2014-11-13,905.03,909.54,902.37,906.40,3455270000,906.40
2014-11-12,904.36,905.65,901.95,904.75,3246650000,904.75
2014-11-11,904.40,905.69,902.87,905.17,2958320000,905.17
2014-11-10,901.65,904.59,900.15,904.35,3284940000,904.35
2014-11-07,901.62,902.48,898.51,901.57,3704280000,901.57
2014-11-06,897.58,901.08,894.22,900.95,3669770000,900.95
2014-11-05,895.00,898.71,893.76,897.99,3766590000,897.99
2014-11-04,894.64,895.01,888.47,893.69,3956260000,893.69
2014-11-03,895.71,897.68,893.29,895.17,3555440000,895.17
2014-10-31,887.97,895.84,887.97,895.79,4292290000,895.79
2014-10-30,879.94,888.09,877.57,886.06,3586150000,886.06
2014-10-29,880.90,884.83,875.40,881.17,3740350000,881.17
2014-10-28,873.34,882.13,873.34,882.13,3653260000,882.13
2014-10-27,872.59,873.56,868.10,872.24,3538860000,872.24
2014-10-24,867.01,873.65,865.81,873.33,3078380000,873.33
2014-10-23,858.83,872.46,858.83,867.60,3789250000,867.60
2014-10-22,862.41,866.17,857.14,857.28,3761930000,857.28
2014-10-21,850.41,863.25,850.41,862.76,3987090000,862.76
2014-10-20,840.44,848.18,838.20,847.67,3331210000,847.67
2014-10-17,830.22,845.80,830.22,840.94,4482120000,840.94
2014-10-16,829.74,835.87,819.05,829.72,5073150000,829.72
2014-10-15,839.06,839.06,814.14,831.64,6090800000,831.64
2014-10-14,841.43,849.57,837.41,840.04,4812010000,840.04
2014-10-13,853.16,856.56,840.27,840.53,4352580000,840.53
2014-10-10,861.23,867.00,853.30,853.36,4550540000,853.36
2014-10-09,879.50,879.50,861.96,862.58,4324020000,862.58
2014-10-08,864.82,880.62,860.34,879.89,4441890000,879.89
2014-10-07,877.09,877.09,864.59,864.72,3687870000,864.72
2014-10-06,879.56,883.40,875.10,878.09,3358690000,878.09
2014-10-03,869.67,880.15,869.67,878.77,3561320000,878.77
2014-10-02,869.22,871.75,860.78,869.07,4012510000,869.07
2014-10-01,880.87,880.87,867.49,869.36,4188590000,869.36
2014-09-30,882.60,886.47,879.68,881.25,3951100000,881.25
2014-09-29,883.85,884.14,876.57,882.37,3094440000,882.37
2014-09-26,877.44,886.64,877.44,885.25,2929440000,885.25
2014-09-25,892.42,892.42,877.46,877.46,3273050000,877.46
2014-09-24,886.51,893.32,884.06,892.73,3313850000,892.73
2014-09-23,890.40,891.47,886.30,886.30,3279350000,886.30
2014-09-22,896.63,896.63,889.45,891.09,3349670000,891.09
2014-09-19,896.91,900.43,895.55,897.09,4880220000,897.09
2014-09-18,892.16,896.88,892.16,896.48,3235340000,896.48
2014-09-17,890.10,895.51,887.75,891.67,3209420000,891.67
2014-09-16,882.20,891.40,880.75,889.95,3160310000,889.95
2014-09-15,883.45,884.52,880.20,883.41,2776530000,883.41
2014-09-12,886.99,886.99,880.68,883.07,3206570000,883.07
2014-09-11,885.53,887.38,882.15,887.29,2941690000,887.29
2014-09-10,882.32,887.17,880.55,886.71,2912430000,886.71
2014-09-09,887.51,888.37,880.46,882.34,2882830000,882.34
2014-09-08,890.42,890.42,885.26,887.73,2789090000,887.73
2014-09-05,886.47,890.48,882.56,890.48,2818300000,890.48
2014-09-04,887.89,892.21,883.78,886.18,3072410000,886.18
2014-09-03,888.77,891.63,886.17,887.50,2809980000,887.50
2014-09-02,889.14,890.04,885.08,888.48,2819980000,888.48
2014-08-29,887.32,889.11,885.47,889.08,2259130000,889.08
2014-08-28,887.61,887.61,884.46,886.61,2282400000,886.61
2014-08-27,888.58,889.43,886.97,888.72,2344350000,888.72
2014-08-26,887.44,890.48,887.44,888.41,2451950000,888.41
2014-08-25,884.24,889.08,884.24,887.17,2233880000,887.17
2014-08-22,884.85,885.58,881.54,882.79,2301860000,882.79
2014-08-21,881.45,886.02,881.45,884.81,2638920000,884.81
2014-08-20,879.13,882.26,877.86,881.29,2579380000,881.29
2014-08-19,876.11,880.17,876.11,879.72,2656430000,879.72
2014-08-18,869.60,875.85,869.60,875.67,2638160000,875.67
2014-08-15,870.12,872.27,862.06,868.27,3023380000,868.27
2014-08-14,865.64,868.75,865.41,868.74,2609460000,868.74
2014-08-13,860.17,866.02,860.17,865.42,2718020000,865.42
2014-08-12,859.71,861.51,856.82,859.30,2611700000,859.30
2014-08-11,858.77,863.35,858.77,860.20,2784890000,860.20
2014-08-08,849.14,858.24,848.26,857.89,2902280000,857.89
2014-08-07,854.54,857.18,846.84,849.10,3230520000,849.10
2014-08-06,852.34,856.85,849.78,853.54,3539150000,853.54
2014-08-05,861.01,861.01,850.15,853.28,3462520000,853.28
2014-08-04,856.19,863.88,854.55,861.98,3072920000,861.98
2014-08-01,858.46,861.23,852.08,855.45,3789660000,855.45
2014-07-31,874.81,874.81,858.84,858.84,4193000000,858.84
2014-07-30,877.82,880.53,873.15,876.78,3448250000,876.78
2014-07-29,880.53,883.08,876.58,876.58,3183300000,876.58
2014-07-28,879.77,881.35,874.80,880.20,2803320000,880.20
2014-07-25,882.67,882.67,877.88,879.88,2638960000,879.88
